booking_id,guest_name_norm,email,country,cibo_preferito,prima_visita,check_in,check_out,nights,channel,currency,room_rate,room_rate_eur,cancelled,net_revenue_eur,high_season,post_promo,date_corretta,nome_ambiguo
BK00000,nilsson sophie,sophie.nilsson169@gmail.com,Spain,pesce,2024-09-10,2024-09-10,2024-09-14,4,OTA,EUR,385.71,385.71,False,1542.84,True,False,False,False
BK00001,silva thomas,thomas.silva434@gmail.com,Italy,pesce,2024-09-10,2024-09-10,2024-09-13,3,OTA,EUR,441.31,441.31,True,0.0,True,False,False,False
BK00002,chiara meyer,chiara.meyer316@outlook.com,Germany,internazionale,2024-09-10,2024-09-10,2024-09-13,3,OTA,EUR,380.37,380.37,False,1141.11,True,False,False,False
BK00003,schmidt simone,simone.schmidt639@outlook.com,Japan,internazionale,2024-09-10,2024-09-10,2024-09-15,5,OTA,EUR,475.99,475.99,False,2379.95,True,False,False,False
BK00004,al-rashid francesco,francesco.al-rashid399@icloud.com,Japan,kosher,2024-09-10,2024-09-10,2024-09-14,4,direct,EUR,412.62,412.62,False,1650.48,True,False,False,True
BK00005,hans kim,hans.kim909@gmail.com,Switzerland,senza glutine,2024-09-10,2024-09-10,2024-09-13,3,direct,EUR,460.27,460.27,False,1380.81,True,False,False,False
BK00006,greco william,william.greco902@yahoo.com,USA,internazionale,2024-09-10,2024-09-10,2024-09-13,3,direct,EUR,337.4,337.4,False,1012.2,True,False,False,True
BK00007,fischer yuki,yuki.fischer633@outlook.com,Switzerland,kosher,2024-09-11,2024-09-11,2024-09-16,5,OTA,EUR,429.37,429.37,False,2146.85,True,False,False,False
BK00008,kobayashi youssef,youssef.kobayashi909@icloud.com,Spain,senza glutine,2024-09-11,2024-09-11,2024-09-14,3,direct,EUR,413.07,413.07,True,0.0,True,False,True,True
BK00009,silva sophie,sophie.silva130@icloud.com,Switzerland,pesce,2024-09-11,2024-09-11,2024-09-17,6,OTA,EUR,394.34,394.34,False,2366.04,True,False,False,True
BK00010,carlos rossi,carlos.rossi414@yahoo.com,UK,pesce,2024-09-11,2024-09-11,2024-09-19,8,OTA,USD,343.8,316.3,False,2530.4,True,False,False,False
BK00011,alessandro weber,alessandro.weber970@yahoo.com,Japan,kosher,2024-09-11,2024-09-11,2024-09-14,3,OTA,EUR,411.3,411.3,False,1233.9,True,False,False,False
BK00012,amelia kim,amelia.kim240@yahoo.com,UAE,vegana,2024-09-11,2024-09-11,2024-09-13,2,OTA,EUR,534.44,534.44,False,1068.88,True,False,False,False
BK00013,elena nakamura,elena.nakamura736@yahoo.com,UAE,internazionale,2024-09-11,2024-09-11,2024-09-16,5,OTA,EUR,392.6,392.6,False,1963.0,True,False,False,False
BK00014,erik garcia,erik.garcia526@yahoo.com,Italy,kosher,2024-09-12,2024-09-12,2024-09-14,2,direct,EUR,383.74,383.74,False,767.48,True,False,False,False
BK00015,henri martinez,henri.martinez273@gmail.com,Italy,senza glutine,2024-09-12,2024-09-12,2024-09-16,4,direct,EUR,431.02,431.02,False,1724.08,True,False,False,True
BK00016,costa klaus,klaus.costa496@yahoo.com,Netherlands,italiana,2024-09-12,2024-09-12,2024-09-16,4,OTA,EUR,441.36,441.36,False,1765.44,True,False,False,False
BK00017,francesco rossi,francesco.rossi136@icloud.com,Japan,senza glutine,2024-09-12,2024-09-12,2024-09-19,7,OTA,EUR,431.7,431.7,False,3021.9,True,False,False,False
BK00018,alessandro nowak,alessandro.nowak646@icloud.com,USA,italiana,2024-09-12,2024-09-12,2024-09-15,3,OTA,EUR,460.93,460.93,False,1382.79,True,False,False,False
BK00019,hassan james,james.hassan319@gmail.com,Italy,italiana,2024-09-12,2024-09-12,2024-09-18,6,direct,EUR,371.13,371.13,False,2226.78,True,False,False,False
BK00020,alessandro greco,alessandro.greco595@yahoo.com,Italy,pesce,2024-09-12,2024-09-12,2024-09-14,2,OTA,EUR,405.19,405.19,False,810.38,True,False,False,True
BK00021,alessandro wagner,alessandro.wagner7@outlook.com,Netherlands,pesce,2024-09-13,2024-09-13,2024-09-17,4,direct,EUR,474.78,474.78,False,1899.12,True,False,False,False
BK00022,olga romano,olga.romano668@outlook.com,Germany,senza glutine,2024-09-13,2024-09-13,2024-09-15,2,direct,EUR,437.77,437.77,False,875.54,True,False,False,False
BK00023,andersen giulia,giulia.andersen900@yahoo.com,Japan,kosher,2024-09-13,2024-09-13,2024-09-15,2,direct,EUR,476.98,476.98,False,953.96,True,False,False,False
BK00024,lopez marie,marie.lopez462@gmail.com,France,vegana,2024-09-13,2024-09-13,2024-09-16,3,OTA,USD,363.49,334.41,True,0.0,True,False,False,False
BK00025,muller sara,sara.muller965@yahoo.com,UAE,italiana,2024-09-14,2024-09-14,2024-09-17,3,OTA,EUR,428.07,428.07,False,1284.21,True,False,False,False
BK00026,johnson omar,omar.johnson39@icloud.com,Netherlands,senza glutine,2024-09-14,2024-09-14,2024-09-16,2,direct,EUR,466.3,466.3,False,932.6,True,False,False,False
BK00027,al-rashid thomas,thomas.al-rashid958@yahoo.com,Japan,senza glutine,2024-09-14,2024-09-14,2024-09-16,2,direct,EUR,414.66,414.66,False,829.32,True,False,False,False
BK00028,girard robert,robert.girard588@yahoo.com,UK,vegana,2024-09-14,2024-09-14,2024-09-17,3,OTA,EUR,412.99,412.99,False,1238.97,True,False,False,False
BK00029,amelia ricci,amelia.ricci671@icloud.com,USA,halal,2024-09-14,2024-09-14,2024-09-17,3,OTA,EUR,451.45,451.45,False,1354.35,True,False,False,False
BK00030,hassan kenji,kenji.hassan370@yahoo.com,Italy,kosher,2024-09-14,2024-09-14,2024-09-17,3,direct,USD,355.48,327.04,False,981.12,True,False,False,False
BK00031,costa ingrid,ingrid.costa248@yahoo.com,Italy,senza glutine,2024-09-15,2024-09-15,2024-09-17,2,direct,EUR,378.96,378.96,False,757.92,True,False,False,False
BK00032,bernard silvia,silvia.bernard450@gmail.com,France,internazionale,2024-09-15,2024-09-15,2024-09-22,7,OTA,EUR,437.39,437.39,False,3061.73,True,False,False,False
BK00033,charlotte kowalski,charlotte.kowalski289@icloud.com,UAE,pesce,2024-09-15,2024-09-15,2024-09-18,3,OTA,EUR,435.33,435.33,False,1305.99,True,False,False,False
BK00034,matteo schmidt,matteo.schmidt327@outlook.com,UK,vegana,2024-09-15,2024-09-15,2024-09-20,5,direct,EUR,381.4,381.4,False,1907.0,True,False,False,False
BK00035,emma weber,emma.weber577@icloud.com,Spain,italiana,2024-09-15,2024-09-15,2024-09-18,3,direct,USD,421.66,387.93,False,1163.79,True,False,False,False
BK00036,francesco ibrahim,francesco.ibrahim339@yahoo.com,UAE,halal,2024-09-15,2024-09-15,2024-09-19,4,OTA,EUR,457.73,457.73,False,1830.92,True,False,False,False
BK00037,francesco weber,francesco.weber86@gmail.com,Italy,internazionale,2024-09-15,2024-09-15,2024-09-17,2,direct,EUR,458.65,458.65,False,917.3,True,False,False,False
BK00038,francesco ricci,francesco.ricci246@yahoo.com,USA,vegetariana,2024-09-15,2024-09-15,2024-09-18,3,direct,EUR,453.14,453.14,False,1359.42,True,False,False,True
BK00039,chen elena,elena.chen755@yahoo.com,Netherlands,internazionale,2024-09-15,2024-09-15,2024-09-18,3,direct,EUR,335.56,335.56,False,1006.68,True,False,False,False
BK00040,camille patel,camille.patel971@gmail.com,USA,kosher,2024-09-16,2024-09-16,2024-09-18,2,OTA,EUR,404.83,404.83,False,809.66,True,False,False,False
BK00041,charlotte yamamoto,charlotte.yamamoto683@outlook.com,Germany,senza glutine,2024-09-16,2024-09-16,2024-09-19,3,OTA,EUR,378.53,378.53,False,1135.59,True,False,False,False
BK00042,moreau youssef,youssef.moreau120@gmail.com,Germany,pesce,2024-09-16,2024-09-16,2024-09-18,2,OTA,EUR,422.64,422.64,False,845.28,True,False,False,False
BK00043,giorgia moreau,giorgia.moreau980@gmail.com,Japan,senza glutine,2024-09-16,2024-09-16,2024-09-21,5,direct,USD,348.38,320.51,False,1602.55,True,False,False,False
BK00044,fischer jean,jean.fischer576@yahoo.com,Spain,pesce,2024-09-16,2024-09-16,2024-09-18,2,OTA,EUR,379.1,379.1,False,758.2,True,False,False,False
BK00045,alessandro schmidt,alessandro.schmidt699@outlook.com,Germany,internazionale,2024-09-17,2024-09-17,2024-09-18,1,OTA,USD,433.73,399.03,False,399.03,True,False,False,False
BK00046,garcia james,james.garcia440@outlook.com,USA,pesce,2024-09-17,2024-09-17,2024-09-20,3,OTA,USD,361.09,332.2,False,996.6,True,False,False,False
BK00047,francesco singh,francesco.singh362@yahoo.com,Switzerland,senza glutine,2024-09-17,2024-09-17,2024-09-20,3,OTA,EUR,402.32,402.32,False,1206.96,True,False,False,False
BK00048,ingrid martinez,ingrid.martinez126@icloud.com,Spain,internazionale,2024-09-17,2024-09-17,2024-09-23,6,OTA,EUR,365.11,365.11,False,2190.66,True,False,False,False
BK00049,petrov pierre,pierre.petrov777@yahoo.com,Spain,halal,2024-09-17,2024-09-17,2024-09-21,4,direct,EUR,452.1,452.1,False,1808.4,True,False,False,False
BK00050,al-farsi jean,jean.al-farsi314@yahoo.com,UAE,vegana,2024-09-17,2024-09-17,2024-09-22,5,OTA,EUR,421.82,421.82,False,2109.1,True,False,False,False
BK00051,bruno lucia,lucia.bruno626@yahoo.com,UAE,vegetariana,2024-09-17,2024-09-17,2024-09-21,4,direct,USD,393.09,361.64,False,1446.56,True,False,False,False
BK00052,anna nowak,anna.nowak296@icloud.com,Japan,vegana,2024-09-18,2024-09-18,2024-09-21,3,direct,EUR,432.69,432.69,False,1298.07,True,False,True,False
