guest_name_norm,booking_id,email,paese,cibo_preferito,prima_visita,prima_visita_effettiva,check_out,durata_prima_visita,canale_prima_visita,currency,room_rate,adr_prima_visita,cancelled,net_revenue_eur,alta_stagione_prima_visita,post_promo,date_corretta,nome_ambiguo,repeat
ahmed chen,BK00716,ahmed.chen370@outlook.com,Netherlands,halal,2025-02-22,2025-02-22,2025-02-25,3,OTA,EUR,200.88,200.88,False,602.64,False,False,False,False,0
ahmed conti,BK00275,ahmed.conti922@yahoo.com,Netherlands,halal,2024-11-10,2024-11-10,2024-11-14,4,OTA,EUR,244.01,244.01,False,976.04,False,False,False,False,0
ahmed esposito,BK00747,ahmed.esposito621@icloud.com,Germany,kosher,2025-03-05,2025-03-05,2025-03-10,5,OTA,EUR,222.38,222.38,False,1111.9,False,False,False,False,0
ahmed kim,BK00100,ahmed.kim205@gmail.com,France,pesce,2024-09-25,2024-09-25,2024-09-29,4,OTA,EUR,367.86,367.86,False,1471.44,True,False,False,False,1
ahmed lefevre,BK00508,ahmed.lefevre237@outlook.com,Spain,vegetariana,2024-12-26,2024-12-26,2024-12-30,4,OTA,EUR,513.56,513.56,False,2054.24,True,False,False,False,0
ahmed park,BK00676,ahmed.park675@outlook.com,Germany,vegetariana,2025-02-10,2025-02-10,2025-02-13,3,OTA,EUR,263.6,263.6,False,790.8,False,False,False,False,0
ahmed sharma,BK00282,ahmed.sharma65@icloud.com,France,kosher,2024-11-13,2024-11-13,2024-11-14,1,OTA,EUR,190.86,190.86,False,190.86,False,False,False,False,1
ahmed weber,BK00193,ahmed.weber766@outlook.com,UAE,kosher,2024-10-16,2024-10-16,2024-10-17,1,OTA,EUR,239.49,239.49,False,239.49,False,False,False,False,1
aiko andersen,BK00411,aiko.andersen698@icloud.com,Japan,kosher,2024-12-12,2024-12-12,2024-12-15,3,direct,EUR,425.38,425.38,False,1276.14,True,False,False,False,0
aiko dubois,BK00509,aiko.dubois551@outlook.com,Switzerland,vegetariana,2024-12-27,2024-12-27,2024-12-30,3,OTA,EUR,489.48,489.48,False,1468.44,True,False,False,False,0
aiko hassan,BK00121,aiko.hassan384@gmail.com,USA,senza glutine,2024-09-28,2024-09-28,2024-09-30,2,OTA,EUR,389.6,389.6,False,779.2,True,False,False,False,0
aiko ivanov,BK00618,aiko.ivanov318@gmail.com,Germany,halal,2025-01-23,2025-01-23,2025-01-27,4,direct,EUR,249.92,249.92,False,999.68,False,False,False,False,1
aiko johnson,BK00693,aiko.johnson287@icloud.com,France,senza glutine,2025-02-15,2025-02-15,2025-02-16,1,OTA,EUR,254.38,254.38,False,254.38,False,False,False,False,0
aiko lopez,BK00419,aiko.lopez935@outlook.com,Spain,vegana,2024-12-14,2024-12-14,2024-12-17,3,OTA,EUR,377.34,377.34,False,1132.02,True,False,False,False,0
aiko meyer,BK00744,aiko.meyer160@outlook.com,Spain,halal,2025-03-04,2025-03-04,2025-03-07,3,OTA,EUR,274.88,274.88,False,824.64,False,False,False,False,0
aiko muller,BK00277,aiko.muller757@icloud.com,France,senza glutine,2024-11-11,2024-11-11,2024-11-12,1,OTA,EUR,229.85,229.85,False,229.85,False,False,False,False,1
aiko nakamura,BK00447,aiko.nakamura765@gmail.com,France,pesce,2024-12-18,2024-12-18,2024-12-21,3,OTA,EUR,357.7,357.7,False,1073.1,True,False,False,False,0
