guest_name,email,country,prima_visita,cibo_preferito
Petrov Youssef,youssef.petrov350@yahoo.com,France,2025-09-27,pesce
ingrid silva,ingrid.silva428@outlook.com,Japan,2026-07-05,senza glutine
KENJI MOREAU,kenji.moreau765@outlook.com,Spain,2025-07-17,senza glutine
  Marco Romano  ,marco.romano41@gmail.com,Spain,2026-06-15,kosher
omar yamamoto,omar.yamamoto212@yahoo.com,Switzerland,2024-10-16,vegetariana
Amelia Schmidt,amelia.schmidt452@yahoo.com,Netherlands,2025-06-01,kosher
Ivanov Olga,olga.ivanov98@gmail.com,UK,2024-11-09,vegetariana
ISABELLA KOWALSKI,isabella.kowalski570@gmail.com,Germany,2024-09-25,italiana
Jean Costa,jean.costa295@icloud.com,Germany,2026-07-31,halal
astrid colombo,astrid.colombo270@gmail.com,USA,2026-03-04,internazionale
Valentina Nowak,valentina.nowak107@gmail.com,Spain,2025-12-14,vegana
john kumar,john.kumar343@icloud.com,Spain,2025-09-26,senza glutine
NIKOLAI CONTI,nikolai.conti561@gmail.com,USA,2025-10-31,vegana
Olga Schmidt,olga.schmidt197@icloud.com,Netherlands,2025-12-21,senza glutine
Emma Kaczmarek,emma.kaczmarek396@gmail.com,Switzerland,2026-06-15,italiana
giulia meyer,giulia.meyer391@yahoo.com,Japan,2025-11-30,vegana
dmitri muller,dmitri.muller221@icloud.com,Japan,2026-04-08,kosher
Laura Ivanov,laura.ivanov467@icloud.com,USA,2025-05-13,kosher
ROBERT SUZUKI,robert.suzuki204@gmail.com,Switzerland,2026-08-29,vegana
Patricia Costa,patricia.costa745@outlook.com,Spain,2024-09-25,senza glutine
PATRICIA PARK,patricia.park534@icloud.com,Switzerland,2025-07-15,internazionale
CHIARA SINGH,chiara.singh907@icloud.com,UK,2026-07-13,pesce
ERIK NOVAK,erik.novak197@yahoo.com,Netherlands,2025-01-23,pesce
anna conti,anna.conti348@gmail.com,USA,2024-12-22,vegetariana
Fatima Schmidt,fatima.schmidt975@yahoo.com,Germany,2025-07-04,italiana
Park Youssef,youssef.park850@icloud.com,UAE,2025-08-05,italiana
OLIVIA POPOV,olivia.popov99@gmail.com,UAE,2026-08-07,kosher
WILLIAM COLOMBO,william.colombo837@gmail.com,Germany,2026-06-20,halal
william martinez,william.martinez927@yahoo.com,Germany,2025-08-23,italiana
Fischer Chiara,chiara.fischer56@yahoo.com,Spain,2026-08-27,internazionale
  Ekaterina Park  ,ekaterina.park262@icloud.com,Italy,2025-12-23,kosher
CHIARA WEBER,chiara.weber891@yahoo.com,Spain,2026-07-08,vegana
Patricia Nilsson,patricia.nilsson468@outlook.com,Netherlands,2025-04-05,internazionale
Romano Kenji,kenji.romano191@icloud.com,Italy,2025-09-04,vegana
Youssef Watanabe,youssef.watanabe191@yahoo.com,UK,2024-09-24,pesce
  Amelia Ricci  ,amelia.ricci671@icloud.com,USA,2024-09-14,halal
jean bernard,jean.bernard498@gmail.com,Italy,2026-02-20,vegetariana
AIKO SILVA,aiko.silva690@yahoo.com,USA,2024-12-11,pesce
Layla Moreau,layla.moreau837@yahoo.com,Italy,2025-10-07,italiana
FRANCESCO AL-RASHID,francesco.al-rashid482@outlook.com,Spain,2026-02-09,vegana
matteo romano,matteo.romano756@yahoo.com,USA,2024-09-26,internazionale
  Amelia Suzuki  ,amelia.suzuki621@yahoo.com,Germany,2025-08-15,internazionale
  Ananya Sokolov  ,ananya.sokolov285@icloud.com,UAE,2026-01-27,vegana
  Klaus Bruno  ,klaus.bruno945@yahoo.com,Italy,2026-07-17,vegana
Diego Smith,diego.smith777@gmail.com,Germany,2025-06-01,senza glutine
DIEGO KIM,diego.kim843@yahoo.com,Netherlands,2026-08-28,kosher
Camille Wagner,camille.wagner554@yahoo.com,USA,2026-06-24,italiana
Silvia Conti,silvia.conti398@yahoo.com,Germany,2025-12-27,vegetariana
FRANCESCO YAMAMOTO,francesco.yamamoto15@yahoo.com,Spain,2025-07-18,kosher
LAURA KLEIN,laura.klein380@yahoo.com,Netherlands,2026-02-26,vegana
Youssef Suzuki,youssef.suzuki296@outlook.com,UAE,2026-06-10,pesce
giorgia hassan,giorgia.hassan836@icloud.com,Italy,2025-06-03,internazionale
  Olga Nilsson  ,olga.nilsson370@yahoo.com,France,2026-09-06,senza glutine
charlotte dubois,charlotte.dubois330@gmail.com,UAE,2026-07-26,vegetariana
